id,sample,primary_ent,primary_qid,primary_link,secondary_ent,secondary_qid,secondary_link,tertiary_ent,tertiary_qid,tertiary_link,notes
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,HELICOPTER ENGINE,,,ENGINE,Q743004,https://www.wikidata.org/wiki/Q743004,,,,
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,HELICOPTER,Q34486,https://www.wikidata.org/wiki/Q34486,,,,,,,
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,ONE CREWMEMBER,,,CREWMEMBER,Q5184855,https://www.wikidata.org/wiki/Q5184855,,,,
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,ONE,Q199,https://www.wikidata.org/wiki/Q199,,,,,,,
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,AIRCRAFT,Q11436,https://www.wikidata.org/wiki/Q11436,,,,,,,
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,TAKEOFF ROLL,Q21026829,https://www.wikidata.org/wiki/Q21026829,TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,,,,
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,PILOTS SEAT,,,SEAT,Q2207370,https://www.wikidata.org/wiki/Q2207370,,,,
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,PILOTS,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED",FLAT NOSE STRUT,,,,,,,,,
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED",AIRPLANE STRUCTURE,Q222946,https://www.wikidata.org/wiki/Q222946,STRUCTURE,Q222946,https://www.wikidata.org/wiki/Q222946,,,,
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED",AIRPLANE,Q197,https://www.wikidata.org/wiki/Q197,,,,,,,
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED",BELLCRANK,Q4883578,https://www.wikidata.org/wiki/Q4883578,,,,,,,
19980508008619A,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,POWER,Q25342,https://www.wikidata.org/wiki/Q25342,,,,,,,
19980508008619A,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,SLOPE,Q944588,https://www.wikidata.org/wiki/Q944588,,,,,,,
19980508008619A,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,NO EVIDENCE OF FUEL AT SCENE,,,EVIDENCE,Q1347572,https://www.wikidata.org/wiki/Q1347572,,,,
19980508008619A,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,FUEL,Q5361665,https://www.wikidata.org/wiki/Q5361665,,,,,,,
19940818022409A,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,LEFT ENGINE,,,ENGINE,Q743004,https://www.wikidata.org/wiki/Q743004,,,,
19940818022409A,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,H71,,,,,,,,,
19940818022409A,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,BAD OIL LEAK,,,OIL LEAK,,,LEAK,Q1349983,https://www.wikidata.org/wiki/Q1349983,
19940818022409A,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,OIL,Q42962,https://www.wikidata.org/wiki/Q42962,,,,,,,
19940818022409A,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,CRACKED ENGINE CASE,,,ENGINE CASE,,,CASE,Q987767,https://www.wikidata.org/wiki/Q987767,
19920405008919A,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.",TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,,,,
19920405008919A,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.",2500 FT SOD STRIP,,,SOD STRIP,,,STRIP,Q184590,https://www.wikidata.org/wiki/Q184590,
19920405008919A,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.",2500 FT,,,,,,,,,
19920405008919A,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.",GUSTY NORTH WIND,,,NORTH WIND,Q21332443,https://www.wikidata.org/wiki/Q21332443,WIND,Q8094,https://www.wikidata.org/wiki/Q8094,
19920405008919A,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.",STRIP,Q184590,https://www.wikidata.org/wiki/Q184590,,,,,,,
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.,CRASH,Q238053,https://www.wikidata.org/wiki/Q238053,,,,,,,
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.,FORCED LANDING,Q1975745,https://www.wikidata.org/wiki/Q1975745,LANDING,Q844947,https://www.wikidata.org/wiki/Q844947,,,,
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.,ENGINE FAILURE,Q46375738,https://www.wikidata.org/wiki/Q46375738,,,,,,,
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.,ENGINE,Q743004,https://www.wikidata.org/wiki/Q743004,,,,,,,
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.,TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,,,,
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.,AIRCRAFT,Q11436,https://www.wikidata.org/wiki/Q11436,,,,,,,
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.,ANNUAL INSPECTION,,,INSPECTION,Q1137655,https://www.wikidata.org/wiki/Q1137655,,,,
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","PILOT OF CESSNA 207, N1549U",,,PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","CESSNA 207, N1549U",,,CESSNA 207,Q10447208,https://www.wikidata.org/wiki/Q10447208,,,,
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU",CESSNA 207,Q10447208,https://www.wikidata.org/wiki/Q10447208,,,,,,,
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU",CESSNA,Q308889,https://www.wikidata.org/wiki/Q308889,,,,,,,
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU",N1549U,,,,,,,,,
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU",TAKEOFF FROM THE BETHEL AIRPORT,,,TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU",BETHEL AIRPORT,Q619997,https://www.wikidata.org/wiki/Q619997,AIRPORT,Q1248784,https://www.wikidata.org/wiki/Q1248784,,,,
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU",ENGINE,Q743004,https://www.wikidata.org/wiki/Q743004,,,,,,,
19850525020799A,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.,3 MILES FROM AIRPORT,,,AIRPORT,Q1248784,https://www.wikidata.org/wiki/Q1248784,,,,
19850525020799A,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.,3 MILES,,,,,,,,,
19850525020799A,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.,AIRPORT,Q1248784,https://www.wikidata.org/wiki/Q1248784,,,,,,,
19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.,TCA,Q333116,https://www.wikidata.org/wiki/Q333116,,,,,,,
19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.,ATC COMMUNICATION,Q221395,https://www.wikidata.org/wiki/Q221395,COMMUNICATION,Q11024,https://www.wikidata.org/wiki/Q11024,,,,
19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.,ATC,Q221395,https://www.wikidata.org/wiki/Q221395,,,,,,,
19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.,PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.,MALFUNCTIONING ENCODING ALTIMETER,,,ENCODING ALTIMETER,,,ALTIMETER,Q216197,https://www.wikidata.org/wiki/Q216197,
20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG",AIRCRAFT,Q11436,https://www.wikidata.org/wiki/Q11436,,,,,,,
20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG",CRUISE FLIGHT,Q2063640,https://www.wikidata.org/wiki/Q2063640,,,,,,,
20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG",RPM LOSS,,,LOSS,Q1121708,https://www.wikidata.org/wiki/Q1121708,,,,
20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG",PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG",PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.,NOSE BAGGAGE DOOR,,,BAGGAGE DOOR,,,DOOR,Q36794,https://www.wikidata.org/wiki/Q36794,
19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.,TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,,,,
19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.,BAGGAGE,Q865054,https://www.wikidata.org/wiki/Q865054,,,,,,,
19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.,LEFT PROP,,,PROP,Q922654,https://www.wikidata.org/wiki/Q922654,,,,
19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.,SEA,Q165,https://www.wikidata.org/wiki/Q165,,,,,,,
19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.,DOOR,Q36794,https://www.wikidata.org/wiki/Q36794,,,,,,,
19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.,ROUGH ENGINE,,,ENGINE,Q743004,https://www.wikidata.org/wiki/Q743004,,,,
19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.,CLIMBOUT,Q1499786,https://www.wikidata.org/wiki/Q1499786,,,,,,,
19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.,CITY STREET,Q79007,https://www.wikidata.org/wiki/Q79007,STREET,Q79007,https://www.wikidata.org/wiki/Q79007,,,,
19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.,SPARK PLUGS,Q193340,https://www.wikidata.org/wiki/Q193340,,,,,,,
19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.,PRIMER,,,,,,,,,
20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH",TAXI OUT,Q1421250,https://www.wikidata.org/wiki/Q1421250,,,,,,,
20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH",CFI,,,,,,,,,
20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH",NOSE LANDING GEAR GREEN LIGHT,,,GREEN LIGHT,,,LIGHT,Q1146001,https://www.wikidata.org/wiki/Q1146001,
20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH",NOSE LANDING GEAR,,,LANDING GEAR,Q263421,https://www.wikidata.org/wiki/Q263421,GEAR,Q263421,https://www.wikidata.org/wiki/Q263421,
20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH",LIGHTS,Q1146001,https://www.wikidata.org/wiki/Q1146001,,,,,,,
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR",ELECTRIC POWER,Q27137,https://www.wikidata.org/wiki/Q27137,POWER,Q25342,https://www.wikidata.org/wiki/Q25342,,,,
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR",IFR DUAL FLIGHT,,,FLIGHT,Q15921555,https://www.wikidata.org/wiki/Q15921555,,,,
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR",FORCED LANDING,Q1975745,https://www.wikidata.org/wiki/Q1975745,LANDING,Q844947,https://www.wikidata.org/wiki/Q844947,,,,
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR",CIRCUIT BREAKER,Q211058,https://www.wikidata.org/wiki/Q211058,,,,,,,
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR",PILOT ERROR,Q3057459,https://www.wikidata.org/wiki/Q3057459,ERROR,Q29485,https://www.wikidata.org/wiki/Q29485,,,,
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR",PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.,LOUD BANG,,,BANG,Q179057,https://www.wikidata.org/wiki/Q179057,,,,
19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.,SHUDDER,,,,,,,,,
19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.,SPARKS,Q911679,https://www.wikidata.org/wiki/Q911679,,,,,,,
19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.,ROTOR,Q193466,https://www.wikidata.org/wiki/Q193466,,,,,,,
19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.,ENGINE COWLING,Q1138219,https://www.wikidata.org/wiki/Q1138219,COWLING,Q1138219,https://www.wikidata.org/wiki/Q1138219,,,,
19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.,COWL,Q1138219,https://www.wikidata.org/wiki/Q1138219,,,,,,,
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED,PROBLEM,Q621184,https://www.wikidata.org/wiki/Q621184,,,,,,,
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED,CLIMBOUT,Q1499786,https://www.wikidata.org/wiki/Q1499786,,,,,,,
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED,NO LOCKING PINS IN SEAT TRACK,,,,,,,,,
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED,SEAT TRACK,,,,,,,,,
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED,SEAT PIN,,,,,,,,,
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED,BELT,Q623755,https://www.wikidata.org/wiki/Q623755,,,,,,,
19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.,FORCED LANDING,Q1975745,https://www.wikidata.org/wiki/Q1975745,LANDING,Q844947,https://www.wikidata.org/wiki/Q844947,,,,
19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.,POWER LOSS,Q828827,https://www.wikidata.org/wiki/Q828827,LOSS,Q1121708,https://www.wikidata.org/wiki/Q1121708,,,,
19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.,POWER,Q25342,https://www.wikidata.org/wiki/Q25342,,,,,,,
19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.,WATER IN FUEL,,,WATER,Q283,https://www.wikidata.org/wiki/Q283,,,,
19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.,FUEL,Q5361665,https://www.wikidata.org/wiki/Q5361665,,,,,,,
19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.,AIRPLANE,Q197,https://www.wikidata.org/wiki/Q197,,,,,,,
19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.,TAKEOFF ROLL,Q21026829,https://www.wikidata.org/wiki/Q21026829,TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,
19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.,AILERON-ELEVATOR LOCK PIN,,,,,,,,,
19791128035159A,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.",PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
19791128035159A,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.",RAIN SHOWER,Q1292121,https://www.wikidata.org/wiki/Q1292121,SHOWER,Q1292121,https://www.wikidata.org/wiki/Q1292121,,,,
19791128035159A,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.",CLIMBOUT,Q1499786,https://www.wikidata.org/wiki/Q1499786,,,,,,,
